Date,Conversion Rate
10/1/19,0.1897
11/1/19,0.1629
12/1/19,0.3846
1/1/20,0.2428
2/1/20,0.284
3/1/20,0.1399
4/1/20,0.2093
5/1/20,0.1904
6/1/20,0.2479
7/1/20,0.1512
8/1/20,0.183
9/1/20,0.2623
10/1/20,0.1529
11/1/20,0.2392
12/1/20,0.2266
1/1/21,0.1844
2/1/21,0.2622
3/1/21,0.2777
4/1/21,0.3282
5/1/21,0.2171
6/1/21,0.3419
7/1/21,0.2266
8/1/21,0.2337
9/1/21,0.4506
10/1/21,0.2262
11/1/21,0.3177
12/1/21,0.4035
1/1/22,0.2568
2/1/22,0.2117
3/1/22,0.4122
4/1/22,0.3495
5/1/22,0.5072
6/1/22,0.3821
7/1/22,0.4801
8/1/22,0.5112
9/1/22,0.5447
10/1/22,0.3896
11/1/22,0.3594
12/1/22,0.4236
1/1/23,0.6785
2/1/23,0.3458
3/1/23,0.4965
4/1/23,0.2022
5/1/23,0.5547
6/1/23,0.1154
7/1/23,0.3021
8/1/23,0.4589
9/1/23,0.358
10/1/23,0.3464
11/1/23,0.451
12/1/23,0.3264
1/1/24,0.3127
2/1/24,0.2448
3/1/24,0.466
4/1/24,0.4808
5/1/24,0.152
6/1/24,0.1088
7/1/24,0.1301
8/1/24,0.1491
9/1/24,0.2571
10/1/24,0.1808
