Date,Region,Downloads
2019-10-01,"Africa, The Middle East, and India",1
2019-11-01,"Africa, The Middle East, and India",1
2019-12-01,"Africa, The Middle East, and India",1
2020-01-01,"Africa, The Middle East, and India",2
2020-02-01,"Africa, The Middle East, and India",2
2020-03-01,"Africa, The Middle East, and India",0
2020-04-01,"Africa, The Middle East, and India",2
2020-05-01,"Africa, The Middle East, and India",1
2020-06-01,"Africa, The Middle East, and India",2
2020-07-01,"Africa, The Middle East, and India",1
2020-08-01,"Africa, The Middle East, and India",2
2020-09-01,"Africa, The Middle East, and India",1
2020-10-01,"Africa, The Middle East, and India",0
2020-11-01,"Africa, The Middle East, and India",0
2020-12-01,"Africa, The Middle East, and India",1
2021-01-01,"Africa, The Middle East, and India",0
2021-02-01,"Africa, The Middle East, and India",1
2021-03-01,"Africa, The Middle East, and India",4
2021-04-01,"Africa, The Middle East, and India",3
2021-05-01,"Africa, The Middle East, and India",0
2021-06-01,"Africa, The Middle East, and India",4
2021-07-01,"Africa, The Middle East, and India",3
2021-08-01,"Africa, The Middle East, and India",0
2021-09-01,"Africa, The Middle East, and India",1
2021-10-01,"Africa, The Middle East, and India",0
2021-11-01,"Africa, The Middle East, and India",1
2021-12-01,"Africa, The Middle East, and India",2
2022-01-01,"Africa, The Middle East, and India",2
2022-02-01,"Africa, The Middle East, and India",1
2022-03-01,"Africa, The Middle East, and India",1
2022-04-01,"Africa, The Middle East, and India",3
2022-05-01,"Africa, The Middle East, and India",6
2022-06-01,"Africa, The Middle East, and India",4
2022-07-01,"Africa, The Middle East, and India",2
2022-08-01,"Africa, The Middle East, and India",2
2022-09-01,"Africa, The Middle East, and India",0
2022-10-01,"Africa, The Middle East, and India",0
2022-11-01,"Africa, The Middle East, and India",2
2022-12-01,"Africa, The Middle East, and India",0
2023-01-01,"Africa, The Middle East, and India",0
2023-02-01,"Africa, The Middle East, and India",2
2023-03-01,"Africa, The Middle East, and India",1
2023-04-01,"Africa, The Middle East, and India",1
2023-05-01,"Africa, The Middle East, and India",5
2023-06-01,"Africa, The Middle East, and India",0
2023-07-01,"Africa, The Middle East, and India",2
2023-08-01,"Africa, The Middle East, and India",4
2023-09-01,"Africa, The Middle East, and India",2
2023-10-01,"Africa, The Middle East, and India",1
2023-11-01,"Africa, The Middle East, and India",1
2023-12-01,"Africa, The Middle East, and India",2
2024-01-01,"Africa, The Middle East, and India",0
2024-02-01,"Africa, The Middle East, and India",2
2024-03-01,"Africa, The Middle East, and India",3
2024-04-01,"Africa, The Middle East, and India",6
2024-05-01,"Africa, The Middle East, and India",3
2024-06-01,"Africa, The Middle East, and India",0
2024-07-01,"Africa, The Middle East, and India",0
2024-08-01,"Africa, The Middle East, and India",2
2024-09-01,"Africa, The Middle East, and India",1
2024-10-01,"Africa, The Middle East, and India",1
2019-10-01,Asia Pacific,0
2019-11-01,Asia Pacific,3
2019-12-01,Asia Pacific,12
2020-01-01,Asia Pacific,4
2020-02-01,Asia Pacific,7
2020-03-01,Asia Pacific,2
2020-04-01,Asia Pacific,3
2020-05-01,Asia Pacific,4
2020-06-01,Asia Pacific,5
2020-07-01,Asia Pacific,3
2020-08-01,Asia Pacific,4
2020-09-01,Asia Pacific,5
2020-10-01,Asia Pacific,1
2020-11-01,Asia Pacific,6
2020-12-01,Asia Pacific,3
2021-01-01,Asia Pacific,5
2021-02-01,Asia Pacific,4
2021-03-01,Asia Pacific,0
2021-04-01,Asia Pacific,4
2021-05-01,Asia Pacific,3
2021-06-01,Asia Pacific,5
2021-07-01,Asia Pacific,3
2021-08-01,Asia Pacific,5
2021-09-01,Asia Pacific,8
2021-10-01,Asia Pacific,6
2021-11-01,Asia Pacific,1
2021-12-01,Asia Pacific,6
2022-01-01,Asia Pacific,2
2022-02-01,Asia Pacific,2
2022-03-01,Asia Pacific,5
2022-04-01,Asia Pacific,7
2022-05-01,Asia Pacific,5
2022-06-01,Asia Pacific,2
2022-07-01,Asia Pacific,3
2022-08-01,Asia Pacific,5
2022-09-01,Asia Pacific,9
2022-10-01,Asia Pacific,3
2022-11-01,Asia Pacific,3
2022-12-01,Asia Pacific,5
2023-01-01,Asia Pacific,10
2023-02-01,Asia Pacific,2
2023-03-01,Asia Pacific,6
2023-04-01,Asia Pacific,3
