Date,In-App Event,No Page,Product Page,Store Sheet
10/1/19,0,0,0,0
11/1/19,0,0,0,0
12/1/19,0,0,0,0
1/1/20,0,0,0,0
2/1/20,0,0,0,0
3/1/20,0,0,0,0
4/1/20,0,0,0,0
5/1/20,0,0,0,0
6/1/20,0,0,0,0
7/1/20,0,0,0,0
8/1/20,0,0,0,0
9/1/20,0,0,0,0
10/1/20,0,0,0,0
11/1/20,0,0,0,0
12/1/20,0,0,0,0
1/1/21,0,0,0,0
2/1/21,0,0,0,0
3/1/21,0,0,0,0
4/1/21,0,0,0,0
5/1/21,0,0,0,0
6/1/21,0,0,0,0
7/1/21,0,0,0,0
8/1/21,0,6,3,0
9/1/21,0,15,5,0
10/1/21,0,8,2,0
11/1/21,0,12,2,0
12/1/21,0,13,8,0
1/1/22,0,7,8,0
2/1/22,0,7,3,0
3/1/22,0,13,5,1
4/1/22,0,12,3,0
5/1/22,0,14,6,0
6/1/22,0,6,7,0
7/1/22,0,6,12,0
8/1/22,0,13,5,0
9/1/22,0,8,7,0
10/1/22,0,7,5,0
11/1/22,0,9,2,0
12/1/22,0,10,4,0
1/1/23,0,18,6,0
2/1/23,0,6,5,0
3/1/23,0,8,7,0
4/1/23,0,3,4,0
5/1/23,0,10,5,0
6/1/23,0,2,2,0
7/1/23,0,4,4,0
8/1/23,0,7,5,0
9/1/23,0,9,4,0
10/1/23,0,8,2,0
11/1/23,0,8,4,0
12/1/23,0,5,7,0
1/1/24,0,7,3,0
2/1/24,0,4,3,1
3/1/24,0,7,5,0
4/1/24,0,6,4,0
5/1/24,0,3,1,0
6/1/24,0,1,2,0
7/1/24,0,4,1,0
8/1/24,0,2,3,0
9/1/24,0,8,1,0
10/1/24,0,4,1,0
