Date,Product Page Views
10/1/19,44
11/1/19,108
12/1/19,81
1/1/20,110
2/1/20,106
3/1/20,101
4/1/20,105
5/1/20,84
6/1/20,73
7/1/20,117
8/1/20,117
9/1/20,103
10/1/20,135
11/1/20,122
12/1/20,126
1/1/21,126
2/1/21,155
3/1/21,131
4/1/21,156
5/1/21,114
6/1/21,137
7/1/21,138
8/1/21,116
9/1/21,129
10/1/21,98
11/1/21,107
12/1/21,134
1/1/22,159
2/1/22,120
3/1/22,118
4/1/22,101
5/1/22,116
6/1/22,93
7/1/22,124
8/1/22,106
9/1/22,119
10/1/22,115
11/1/22,79
12/1/22,74
1/1/23,110
2/1/23,72
3/1/23,94
4/1/23,89
5/1/23,53
6/1/23,62
7/1/23,69
8/1/23,64
9/1/23,54
10/1/23,59
11/1/23,84
12/1/23,41
1/1/24,43
2/1/24,41
3/1/24,41
4/1/24,51
5/1/24,53
6/1/24,44
7/1/24,53
8/1/24,54
9/1/24,53
10/1/24,39
