Date,Total Downloads
10/1/19,4
11/1/19,11
12/1/19,18
1/1/20,13
2/1/20,15
3/1/20,8
4/1/20,12
5/1/20,9
6/1/20,17
7/1/20,7
8/1/20,11
9/1/20,16
10/1/20,9
11/1/20,14
12/1/20,13
1/1/21,12
2/1/21,16
3/1/21,17
4/1/21,17
5/1/21,12
6/1/21,18
7/1/21,12
8/1/21,13
9/1/21,22
10/1/21,10
11/1/21,14
12/1/21,21
1/1/22,15
2/1/22,10
3/1/22,19
4/1/22,15
5/1/22,20
6/1/22,13
7/1/22,18
8/1/22,18
9/1/22,15
10/1/22,12
11/1/22,11
12/1/22,14
1/1/23,24
2/1/23,11
3/1/23,15
4/1/23,7
5/1/23,15
6/1/23,4
7/1/23,8
8/1/23,12
9/1/23,13
10/1/23,10
11/1/23,12
12/1/23,12
1/1/24,10
2/1/24,8
3/1/24,12
4/1/24,10
5/1/24,4
6/1/24,3
7/1/24,5
8/1/24,5
9/1/24,9
10/1/24,5
