Date,iOS 8.0 Total Downloads,iOS 8.1 Total Downloads,iOS 8.2 Total Downloads,iOS 8.3 Total Downloads,iOS 8.4 Total Downloads,iOS 9.0 Total Downloads,iOS 9.1 Total Downloads,iOS 9.2 Total Downloads,iOS 9.3 Total Downloads,iOS 10.0 Total Downloads,iOS 10.1 Total Downloads,iOS 10.2 Total Downloads,iOS 10.3 Total Downloads,iOS 11.0 Total Downloads,iOS 11.1 Total Downloads,iOS 11.2 Total Downloads,iOS 11.3 Total Downloads,iOS 11.4 Total Downloads,iOS 12.0 Total Downloads,iOS 12.1 Total Downloads,iOS 12.2 Total Downloads,iOS 12.3 Total Downloads,iOS 12.4 Total Downloads,iOS 12.5 Total Downloads,iOS 13.0 Total Downloads,iOS 13.1 Total Downloads,iOS 13.2 Total Downloads,iOS 13.3 Total Downloads,iOS 13.4 Total Downloads,iOS 13.5 Total Downloads,iOS 13.6 Total Downloads,iOS 13.7 Total Downloads,iOS 14.0 Total Downloads,iOS 14.1 Total Downloads,iOS 14.2 Total Downloads,iOS 14.3 Total Downloads,iOS 14.4 Total Downloads,iOS 14.5 Total Downloads,iOS 14.6 Total Downloads,iOS 14.7 Total Downloads,iOS 14.8 Total Downloads,iOS 15.0 Total Downloads,iOS 15.1 Total Downloads,iOS 15.2 Total Downloads,iOS 15.3 Total Downloads,iOS 15.4 Total Downloads,iOS 15.5 Total Downloads,iOS 15.6 Total Downloads,iOS 15.7 Total Downloads,iOS 15.8 Total Downloads,iOS 16.0 Total Downloads,iOS 16.1 Total Downloads,iOS 16.2 Total Downloads,iOS 16.3 Total Downloads,iOS 16.4 Total Downloads,iOS 16.5 Total Downloads,iOS 16.6 Total Downloads,iOS 17.0 Total Downloads,iOS 17.1 Total Downloads,iOS 17.2 Total Downloads,iOS 17.3 Total Downloads,iOS 17.4 Total Downloads,iOS 17.5 Total Downloads,iOS 17.6 Total Downloads,iOS 17.7 Total Downloads,iOS 18.0 Total Downloads,macOS 10.14.1 Total Downloads,macOS 10.14.2 Total Downloads,macOS 10.14.3 Total Downloads,macOS 10.14.4 Total Downloads,macOS 10.14.5 Total Downloads,macOS 10.14.6 Total Downloads,macOS 10.15 Total Downloads,macOS 10.15.1 Total Downloads,macOS 10.15.2 Total Downloads,macOS 10.15.3 Total Downloads,macOS 10.15.4 Total Downloads,macOS 10.15.5 Total Downloads,macOS 10.15.6 Total Downloads,macOS 10.15.7 Total Downloads,macOS 11.0 Total Downloads,macOS 11.0.1 Total Downloads,macOS 11.1 Total Downloads,macOS 11.2 Total Downloads,macOS 11.3 Total Downloads,macOS 11.4 Total Downloads,macOS 11.5 Total Downloads,macOS 11.6 Total Downloads,macOS 12.0 Total Downloads,macOS 12.1 Total Downloads,macOS 12.2 Total Downloads,macOS 12.3 Total Downloads,macOS 12.4 Total Downloads,macOS 12.5 Total Downloads,macOS 12.6 Total Downloads,macOS 12.7 Total Downloads,macOS 13.0 Total Downloads,macOS 13.1 Total Downloads,macOS 13.2 Total Downloads,macOS 13.3 Total Downloads,macOS 13.4 Total Downloads,macOS 13.5 Total Downloads,macOS 13.6 Total Downloads,macOS 14.0 Total Downloads,macOS 14.1 Total Downloads,macOS 14.2 Total Downloads,macOS 14.3 Total Downloads,macOS 14.4 Total Downloads,macOS 14.5 Total Downloads,macOS 14.6 Total Downloads,macOS 15.0 Total Downloads,tvOS 9.0 Total Downloads,tvOS 9.1 Total Downloads,tvOS 9.2 Total Downloads,tvOS 10.0 Total Downloads,tvOS 10.1 Total Downloads,tvOS 10.2 Total Downloads,tvOS 11.0 Total Downloads,tvOS 11.1 Total Downloads,tvOS 11.2 Total Downloads,tvOS 11.3 Total Downloads,tvOS 11.4 Total Downloads,tvOS 12.0 Total Downloads,tvOS 12.1 Total Downloads,tvOS 12.2 Total Downloads,tvOS 12.3 Total Downloads,tvOS 12.4 Total Downloads,tvOS 13.0 Total Downloads,tvOS 13.2 Total Downloads,tvOS 13.3 Total Downloads,tvOS 13.4 Total Downloads,tvOS 14.0 Total Downloads,tvOS 14.2 Total Downloads,tvOS 14.3 Total Downloads,tvOS 14.4 Total Downloads,tvOS 14.5 Total Downloads,tvOS 14.6 Total Downloads,tvOS 14.7 Total Downloads,tvOS 15.0 Total Downloads,tvOS 15.1 Total Downloads,tvOS 15.2 Total Downloads,tvOS 15.3 Total Downloads,tvOS 15.4 Total Downloads,tvOS 15.5 Total Downloads,tvOS 15.6 Total Downloads,tvOS 16.0 Total Downloads,tvOS 16.1 Total Downloads,tvOS 16.2 Total Downloads,tvOS 16.3 Total Downloads,tvOS 16.4 Total Downloads,tvOS 16.5 Total Downloads,tvOS 16.6 Total Downloads,tvOS 17.0 Total Downloads,tvOS 17.1 Total Downloads,tvOS 17.2 Total Downloads,tvOS 17.3 Total Downloads,tvOS 17.4 Total Downloads,tvOS 17.5 Total Downloads,tvOS 17.6 Total Downloads,tvOS 18.0 Total Downloads,visionOS 1.0 Total Downloads,visionOS 1.1 Total Downloads,visionOS 1.2 Total Downloads,visionOS 1.3 Total Downloads,visionOS 2.0 Total Downloads
10/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/19,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/20,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
