Name,Hot Air Balloons Adventure
Start Date,11/1/19
End Date,10/1/24

Date,Redownloads
10/1/19,0.0
11/1/19,0.0
12/1/19,0.0
1/1/20,0.0
2/1/20,0.0
3/1/20,0.0
4/1/20,0.0
5/1/20,0.0
6/1/20,0.0
7/1/20,0.0
8/1/20,0.0
9/1/20,0.0
10/1/20,0.0
11/1/20,0.0
12/1/20,0.0
1/1/21,0.0
2/1/21,0.0
3/1/21,0.0
4/1/21,0.0
5/1/21,0.0
6/1/21,0.0
7/1/21,0.0
8/1/21,0.0
9/1/21,2.0
10/1/21,2.0
11/1/21,2.0
12/1/21,2.0
1/1/22,2.0
2/1/22,2.0
3/1/22,1.0
4/1/22,1.0
5/1/22,3.0
6/1/22,0.0
7/1/22,3.0
8/1/22,3.0
9/1/22,3.0
10/1/22,1.0
11/1/22,0.0
12/1/22,5.0
1/1/23,6.0
2/1/23,1.0
3/1/23,2.0
4/1/23,0.0
5/1/23,3.0
6/1/23,0.0
7/1/23,2.0
8/1/23,1.0
9/1/23,2.0
10/1/23,1.0
11/1/23,1.0
12/1/23,1.0
1/1/24,5.0
2/1/24,2.0
3/1/24,1.0
4/1/24,3.0
5/1/24,1.0
6/1/24,0.0
7/1/24,2.0
8/1/24,0.0
9/1/24,0.0
10/1/24,0.0
