Date,Sessions
10/1/19,0
11/1/19,6
12/1/19,1
1/1/20,5
2/1/20,21
3/1/20,4
4/1/20,3
5/1/20,12
6/1/20,12
7/1/20,14
8/1/20,4
9/1/20,12
10/1/20,9
11/1/20,22
12/1/20,19
1/1/21,13
2/1/21,7
3/1/21,15
4/1/21,11
5/1/21,32
6/1/21,22
7/1/21,8
8/1/21,18
9/1/21,9
10/1/21,12
11/1/21,5
12/1/21,16
1/1/22,14
2/1/22,2
3/1/22,5
4/1/22,25
5/1/22,37
6/1/22,18
7/1/22,23
8/1/22,7
9/1/22,24
10/1/22,8
11/1/22,24
12/1/22,40
1/1/23,17
2/1/23,17
3/1/23,15
4/1/23,11
5/1/23,22
6/1/23,7
7/1/23,8
8/1/23,3
9/1/23,7
10/1/23,8
11/1/23,8
12/1/23,0
1/1/24,13
2/1/24,13
3/1/24,20
4/1/24,6
5/1/24,7
6/1/24,0
7/1/24,3
8/1/24,1
9/1/24,7
10/1/24,5
