iOS Version,Total Downloads
iOS 9.3,53
iOS 8.1,2
iOS 8.4,2
iOS 10.0,2
iOS 10.2,2
iOS 10.3,34
iOS 11.0,1
iOS 11.2,2
iOS 11.3,15
iOS 11.4,1
iOS 12.0,1
iOS 12.1,5
iOS 12.2,2
iOS 12.3,2
iOS 12.4,41
iOS 12.5,48
iOS 13.0,2
iOS 13.1,6
iOS 13.2,4
iOS 13.3,42
iOS 13.4,10
iOS 13.5,19
iOS 13.6,16
iOS 13.7,11
iOS 14.0,8
iOS 14.1,2
iOS 14.2,16
iOS 14.3,9
iOS 14.4,49
iOS 14.5,3
iOS 14.6,30
iOS 14.7,26
iOS 14.8,20
iOS 15.0,2
iOS 15.1,18
iOS 15.2,12
iOS 15.3,25
iOS 15.4,23
iOS 15.5,20
iOS 15.6,27
iOS 15.7,13
iOS 15.8,4
iOS 16.0,9
iOS 16.1,10
iOS 16.2,12
iOS 16.3,10
iOS 16.4,8
iOS 16.5,6
iOS 16.6,11
iOS 17.0,3
iOS 17.1,7
iOS 17.2,8
iOS 17.3,7
iOS 17.4,4
iOS 17.5,7
iOS 17.6,8
iOS 18.0,3
